engine,dataset,task,start,end,walltime,duration,level,type
real,ilmn-803,chr21_chr21,2069.89,2115.11,45.2218,43.1,7,chr21
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_1,1058.93,1069.64,10.7089,8.58714,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_10,1058.93,1069.64,10.7089,6.46536,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_11,1058.93,1069.64,10.7089,4.34357,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_12,1058.93,1069.64,10.7089,2.22179,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_13,1058.93,1080.34,21.4179,10.8089,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_14,1283.81,1294.52,10.7089,6.46536,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_15,1508.7,1515.05,6.34357,2.1,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_16,1508.7,1513.05,4.34357,2.22179,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_17,1497.99,1513.05,15.0525,4.44357,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_18,1069.64,1080.34,10.7089,8.58714,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_19,1069.64,1080.34,10.7089,6.46536,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_2,1069.64,1080.34,10.7089,4.34357,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_20,1069.64,1091.05,21.4179,12.9307,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_21,1069.64,1091.05,21.4179,10.8089,3,fast2bfq
real,ilmn-803,fast2bfq_fast2bfq_080603_ILMN-GA001_0003_205WWAAXX_TAQ1_s_1_sequence_22,1497.99,1513.05,15.0525,6.56536,3,fast2bfq
